DELIVERY_PERSON_NAME,EMPLOYMENT_TYPE,VEHICLE_TYPE,TOTAL_DELIVERIES,AVG_DELAY,AVG_RATING,ON_TIME_RATE
Trisha Dugar,FULL-TIME,EV BIKE,114,0.48,4.00,64.91
Pihu Khare,CONTRACT,SCOOTER,106,0.46,4.00,64.15
Shayak Shanker,FULL-TIME,SCOOTER,109,0.50,3.90,64.22
Aarav Sathe,FULL-TIME,VAN,97,0.46,4.00,60.82
Shalv Upadhyay,CONTRACT,BIKE,89,0.48,4.04,59.55
Azad Bhatt,FULL-TIME,SCOOTER,88,0.44,4.04,65.91
Oorja Tailor,FULL-TIME,BIKE,93,0.47,3.89,65.59
Hazel Raval,FULL-TIME,SCOOTER,86,0.41,4.06,70.93
Kashvi Golla,CONTRACT,VAN,117,0.42,3.95,66.67
Vivaan Brahmbhatt,FULL-TIME,BIKE,101,0.42,4.01,68.32
Azad Seshadri,FULL-TIME,SCOOTER,84,0.49,4.08,57.14
Tanya Basu,FULL-TIME,BIKE,134,0.52,3.96,57.46
Hansh Basu,CONTRACT,BIKE,99,0.47,4.00,62.63
Onkar Bajaj,CONTRACT,SCOOTER,81,0.52,3.88,61.73
Tushar Deol,CONTRACT,SCOOTER,110,0.45,4.05,64.55
Siya D’alia,FULL-TIME,VAN,106,0.42,4.05,66.98
Lakshit Lanka,CONTRACT,EV BIKE,103,0.39,4.02,67.96
Saanvi Gupta,CONTRACT,SCOOTER,130,0.50,3.98,60.77
Mamooty Gour,FULL-TIME,VAN,128,0.35,4.12,71.09
Aarush Karpe,CONTRACT,VAN,129,0.36,4.13,70.54
Kiara Sachdev,FULL-TIME,VAN,170,0.44,4.03,64.71
Manikya Sibal,FULL-TIME,SCOOTER,123,0.39,4.08,70.73
Vivaan Sarkar,CONTRACT,SCOOTER,130,0.55,3.86,59.23
Nehmat Date,CONTRACT,VAN,136,0.47,3.90,63.24
Anvi Sani,FULL-TIME,EV BIKE,99,0.61,3.84,46.46
Mamooty Ratta,FULL-TIME,EV BIKE,87,0.43,4.03,65.52
Mannat Guha,CONTRACT,SCOOTER,117,0.44,4.05,64.10
Alisha Salvi,FULL-TIME,VAN,90,0.54,3.85,60.00
Vanya Karnik,CONTRACT,VAN,109,0.29,4.19,77.06
Vivaan Deep,CONTRACT,VAN,139,0.37,4.08,69.78
Jivika Chakraborty,CONTRACT,BIKE,110,0.43,4.00,66.36
Sara Ray,CONTRACT,EV BIKE,101,0.41,4.03,68.32
Ayesha Gill,FULL-TIME,VAN,116,0.42,4.06,67.24
Farhan Goda,FULL-TIME,EV BIKE,78,0.58,3.82,55.13
Romil Kakar,CONTRACT,BIKE,100,0.53,3.88,61.00
Zeeshan Ramaswamy,FULL-TIME,BIKE,113,0.46,4.00,63.72
Dhruv Vyas,FULL-TIME,EV BIKE,104,0.41,4.11,64.42
Ela Chakrabarti,CONTRACT,SCOOTER,105,0.43,4.12,62.86
Stuvan Sagar,CONTRACT,BIKE,102,0.43,4.05,67.65
Lavanya Tiwari,FULL-TIME,VAN,137,0.52,3.94,62.04
Manikya Kapoor,CONTRACT,EV BIKE,116,0.50,3.97,61.21
Jivika Mannan,CONTRACT,EV BIKE,117,0.37,4.13,70.09
Jivin Sharaf,FULL-TIME,EV BIKE,87,0.45,3.98,64.37
Charvi Chaudhari,FULL-TIME,SCOOTER,75,0.49,3.92,62.67
Seher Taneja,FULL-TIME,BIKE,102,0.49,3.97,61.76
Shaan Amble,CONTRACT,BIKE,84,0.40,4.06,66.67
Saanvi Swamy,CONTRACT,EV BIKE,97,0.44,4.04,61.86
Kismat Mallick,CONTRACT,EV BIKE,125,0.41,4.05,66.40
Yasmin Tata,FULL-TIME,VAN,140,0.51,3.98,60.71
Ishaan Ghosh,CONTRACT,VAN,94,0.47,3.99,59.57
Ryan Uppal,FULL-TIME,BIKE,81,0.46,4.00,61.73
Alisha Kamdar,CONTRACT,EV BIKE,148,0.39,4.06,70.27
Inaaya  Vyas,FULL-TIME,EV BIKE,100,0.45,3.99,68.00
Sahil Kapur,FULL-TIME,SCOOTER,112,0.54,3.83,58.04
Raunak Zachariah,FULL-TIME,SCOOTER,101,0.50,3.96,61.39
Nirvi Mandal,FULL-TIME,BIKE,95,0.45,4.01,66.32
Ryan Khatri,FULL-TIME,EV BIKE,106,0.48,3.99,65.09
Kiaan Brar,CONTRACT,SCOOTER,103,0.53,3.94,55.34
Nayantara Dua,CONTRACT,VAN,88,0.42,4.05,65.91
Vaibhav Ganesan,FULL-TIME,BIKE,106,0.51,3.92,56.60
Kashvi Din,FULL-TIME,EV BIKE,82,0.33,4.20,75.61
Khushi Kurian,CONTRACT,SCOOTER,95,0.51,3.91,57.89
Divij Agate,CONTRACT,BIKE,111,0.50,3.89,63.06
Raghav Kaul,FULL-TIME,VAN,142,0.41,4.04,69.01
Chirag Kaul,CONTRACT,SCOOTER,146,0.35,4.17,68.49
Kashvi Chada,CONTRACT,VAN,98,0.54,3.90,58.16
Yasmin Raju,CONTRACT,SCOOTER,107,0.37,4.12,70.09
Piya Aggarwal,CONTRACT,EV BIKE,103,0.37,4.04,70.87
Shamik Banerjee,FULL-TIME,VAN,137,0.40,4.05,65.69
Hiran Gara,CONTRACT,EV BIKE,106,0.46,3.98,65.09
Mannat Ratta,FULL-TIME,EV BIKE,90,0.37,4.14,71.11
Jayesh Ramaswamy,CONTRACT,EV BIKE,130,0.48,3.91,63.08
Zeeshan Aurora,CONTRACT,EV BIKE,109,0.42,4.03,66.97
Tara Sodhi,FULL-TIME,VAN,106,0.44,4.00,62.26
Aradhya Kamdar,FULL-TIME,SCOOTER,109,0.52,3.98,56.88
Reyansh Mani,CONTRACT,VAN,99,0.36,4.15,71.72
Yakshit Maharaj,FULL-TIME,BIKE,98,0.50,3.93,63.27
Yakshit Raj,FULL-TIME,BIKE,99,0.45,4.00,62.63
Mamooty Iyengar,CONTRACT,SCOOTER,86,0.47,3.99,63.95
Pihu Anand,FULL-TIME,BIKE,102,0.60,3.79,56.86
Sana Bains,CONTRACT,SCOOTER,107,0.42,4.07,66.36
Inaaya  Soni,FULL-TIME,EV BIKE,97,0.43,4.01,63.92
Himmat Karnik,CONTRACT,SCOOTER,140,0.40,4.01,66.43
Anvi Choudhry,FULL-TIME,EV BIKE,130,0.53,3.90,56.92
Samar Iyengar,CONTRACT,VAN,93,0.55,3.90,58.06
Shlok Mand,FULL-TIME,SCOOTER,89,0.45,4.03,62.92
Samar Rajan,CONTRACT,VAN,118,0.50,3.97,61.86
Aarav Kohli,FULL-TIME,VAN,105,0.40,4.05,68.57
Hunar Barman,CONTRACT,SCOOTER,101,0.43,3.98,66.34
Devansh Lata,CONTRACT,VAN,103,0.38,4.12,66.02
Emir Sarin,FULL-TIME,SCOOTER,139,0.52,3.91,58.99
Nehmat Mandal,FULL-TIME,SCOOTER,93,0.54,3.90,58.06
Anahi Khatri,CONTRACT,SCOOTER,113,0.44,4.03,66.37
Tushar Kumar,FULL-TIME,BIKE,88,0.36,4.08,72.73
Prerak Dara,FULL-TIME,VAN,112,0.46,4.01,66.07
Anya Varma,CONTRACT,SCOOTER,120,0.50,3.93,61.67
Mohanlal Ghose,CONTRACT,BIKE,106,0.39,4.07,66.98
Gatik Bora,FULL-TIME,VAN,75,0.45,3.92,65.33
Mohanlal Bhardwaj,CONTRACT,SCOOTER,89,0.45,4.01,62.92
Yakshit Sandhu,CONTRACT,VAN,83,0.48,3.97,66.27
Taimur Batta,CONTRACT,SCOOTER,117,0.41,3.99,66.67
Aradhya Dutt,CONTRACT,BIKE,106,0.42,4.01,67.92
Onkar Thaman,CONTRACT,BIKE,117,0.44,4.03,62.39
Arhaan Upadhyay,CONTRACT,EV BIKE,73,0.60,3.69,56.16
Aaryahi Chaudhuri,CONTRACT,SCOOTER,144,0.43,3.98,66.67
Dhruv Buch,FULL-TIME,BIKE,101,0.44,4.03,65.35
Rati Walla,CONTRACT,BIKE,126,0.48,3.86,67.46
Sumer Butala,CONTRACT,SCOOTER,112,0.46,4.01,66.07
Bhamini Bobal,FULL-TIME,BIKE,80,0.35,4.12,72.50
Kiara Dhingra,FULL-TIME,EV BIKE,98,0.34,4.10,72.45
Chirag Khurana,CONTRACT,SCOOTER,97,0.37,4.10,70.10
Kaira Kakar,FULL-TIME,VAN,119,0.44,3.98,67.23
Riaan Sengupta,CONTRACT,EV BIKE,92,0.40,4.02,67.39
Urvi Krish,FULL-TIME,BIKE,93,0.54,3.86,61.29
Anika Tata,CONTRACT,BIKE,89,0.46,3.96,70.79
Vedika Mani,CONTRACT,VAN,103,0.43,4.03,66.99
Kaira Raja,FULL-TIME,BIKE,90,0.40,4.07,68.89
Nitara Saraf,FULL-TIME,SCOOTER,111,0.57,3.87,59.46
Neelofar Batta,CONTRACT,BIKE,82,0.34,4.13,75.61
Divij Wable,CONTRACT,EV BIKE,105,0.39,4.03,67.62
Vivaan Shan,FULL-TIME,BIKE,111,0.47,4.01,63.06
Divit Chaudhari,CONTRACT,SCOOTER,115,0.47,4.05,60.87
Samaira Khatri,FULL-TIME,BIKE,84,0.40,4.03,67.86
Miraya Gill,CONTRACT,VAN,85,0.39,4.09,68.24
Saira Singh,FULL-TIME,EV BIKE,84,0.37,4.12,70.24
Sahil Chanda,FULL-TIME,EV BIKE,106,0.44,4.00,64.15
Madhup Behl,FULL-TIME,SCOOTER,129,0.50,3.94,61.24
Krish Brar,FULL-TIME,VAN,71,0.48,4.00,61.97
Riya Chadha,FULL-TIME,SCOOTER,89,0.47,4.01,59.55
Advika Divan,CONTRACT,SCOOTER,76,0.37,4.16,72.37
Dishani Date,CONTRACT,SCOOTER,81,0.51,3.91,65.43
Manikya Deol,CONTRACT,VAN,97,0.42,4.06,67.01
Kimaya Bhatt,FULL-TIME,BIKE,97,0.42,4.02,63.92
Khushi Dhillon,CONTRACT,SCOOTER,96,0.55,3.82,58.33
Lagan Mann,CONTRACT,EV BIKE,112,0.47,3.98,61.61
Tejas Jain,FULL-TIME,BIKE,128,0.39,4.09,69.53
Biju Hans,FULL-TIME,EV BIKE,113,0.49,3.98,61.06
Tushar Rout,FULL-TIME,EV BIKE,94,0.38,4.05,67.02
Nakul Chhabra,CONTRACT,BIKE,91,0.51,3.98,59.34
Riaan Lal,FULL-TIME,BIKE,122,0.43,4.02,65.57
Abram Joshi,FULL-TIME,EV BIKE,96,0.39,4.05,72.92
Dhanuk Varkey,CONTRACT,VAN,90,0.39,3.97,68.89
Shalv Dhingra,CONTRACT,EV BIKE,86,0.45,3.91,66.28
Aniruddh Vohra,CONTRACT,VAN,126,0.50,3.98,64.29
Nishith Bhargava,CONTRACT,EV BIKE,81,0.42,4.04,69.14
Reyansh Rajagopalan,CONTRACT,SCOOTER,83,0.61,3.80,53.01
Urvi Salvi,CONTRACT,EV BIKE,90,0.60,3.84,56.67
Kiara Buch,FULL-TIME,SCOOTER,114,0.40,4.05,67.54
Ishita Gala,CONTRACT,EV BIKE,95,0.37,4.12,70.53
Dhanuk Sawhney,FULL-TIME,BIKE,120,0.43,4.07,64.17
Saanvi Jayaraman,CONTRACT,VAN,97,0.41,4.05,65.98
Adira Brahmbhatt,CONTRACT,SCOOTER,73,0.48,3.96,63.01
Ayesha Wali,CONTRACT,BIKE,106,0.43,3.99,68.87
Shanaya Ramanathan,CONTRACT,VAN,121,0.45,3.97,65.29
Manjari Yogi,CONTRACT,BIKE,105,0.37,4.16,70.48
Taimur Hayer,FULL-TIME,BIKE,92,0.57,3.86,56.52
Nitya Bail,FULL-TIME,BIKE,117,0.39,4.07,70.94
Armaan Krishnamurthy,CONTRACT,VAN,87,0.39,4.07,70.11
Yashvi Gandhi,FULL-TIME,BIKE,85,0.45,4.08,62.35
Sana Sachdev,FULL-TIME,BIKE,98,0.41,4.12,67.35
Vidur Kurian,FULL-TIME,VAN,98,0.45,3.98,64.29
Saanvi Subramanian,CONTRACT,VAN,93,0.41,4.12,69.89
Charvi Kunda,CONTRACT,SCOOTER,85,0.48,3.99,65.88
Eva Char,FULL-TIME,EV BIKE,117,0.52,3.92,58.97
Samiha Arora,FULL-TIME,EV BIKE,109,0.39,4.10,69.72
Krish Mander,FULL-TIME,SCOOTER,111,0.53,3.88,61.26
Divit Kibe,FULL-TIME,SCOOTER,111,0.38,4.04,72.97
Ivana Rajagopal,FULL-TIME,VAN,108,0.51,3.91,60.19
Anaya Sridhar,FULL-TIME,VAN,104,0.33,4.14,69.23
Jayesh Shan,FULL-TIME,SCOOTER,85,0.47,4.05,58.82
Romil Ramakrishnan,FULL-TIME,VAN,106,0.42,4.08,65.09
Manikya Suri,FULL-TIME,EV BIKE,90,0.54,3.93,57.78
Emir Sandhu,CONTRACT,VAN,121,0.58,3.84,57.02
Suhana Gaba,FULL-TIME,SCOOTER,83,0.43,4.03,66.27
Drishya Kata,CONTRACT,SCOOTER,104,0.36,4.13,69.23
Biju Lad,FULL-TIME,BIKE,108,0.39,4.13,71.30
Pranay Bahl,CONTRACT,VAN,95,0.52,3.89,61.05
Priyansh Dugal,FULL-TIME,VAN,110,0.38,4.06,70.91
Umang Suresh,FULL-TIME,EV BIKE,109,0.44,3.96,64.22
Ojas Char,FULL-TIME,EV BIKE,100,0.52,3.92,57.00
Onkar Bora,CONTRACT,EV BIKE,95,0.38,4.06,69.47
Jayant Rao,CONTRACT,SCOOTER,100,0.43,4.00,69.00
Romil Deo,CONTRACT,VAN,81,0.46,4.01,64.20
Urvi Mand,CONTRACT,EV BIKE,132,0.35,4.12,71.21
Adah Kalla,CONTRACT,VAN,115,0.41,4.02,66.96
Alia Sengupta,CONTRACT,BIKE,149,0.35,4.12,72.48
Rati Karan,CONTRACT,EV BIKE,119,0.33,4.16,72.27
Kanav Kuruvilla,CONTRACT,BIKE,82,0.55,3.79,56.10
Fateh Gara,CONTRACT,SCOOTER,78,0.47,4.02,60.26
Amani Kibe,FULL-TIME,VAN,98,0.43,4.06,64.29
Neysa Barman,CONTRACT,VAN,89,0.47,4.07,64.04
Priyansh Shroff,FULL-TIME,SCOOTER,61,0.46,4.03,65.57
Zara Swamy,CONTRACT,SCOOTER,84,0.49,3.99,58.33
Farhan Agate,CONTRACT,BIKE,118,0.37,4.09,67.80
Damini Chakraborty,FULL-TIME,EV BIKE,72,0.64,3.77,51.39
Riaan Chauhan,FULL-TIME,BIKE,98,0.36,4.07,75.51
Ivan Sankar,CONTRACT,BIKE,81,0.46,4.00,64.20
Divit Kaul,CONTRACT,EV BIKE,92,0.48,4.02,61.96
Pihu Ratta,FULL-TIME,EV BIKE,116,0.43,4.01,64.66
Nakul Varkey,CONTRACT,BIKE,93,0.41,4.02,69.89
Pihu De,CONTRACT,SCOOTER,90,0.39,4.09,68.89
Sumer Batra,CONTRACT,BIKE,86,0.55,3.90,59.30
Aaina Chokshi,FULL-TIME,EV BIKE,107,0.51,3.85,58.88
Neysa Bumb,FULL-TIME,VAN,87,0.43,4.02,67.82
Darshit Lad,FULL-TIME,VAN,86,0.41,4.05,67.44
Amani Kothari,FULL-TIME,VAN,91,0.32,4.10,73.63
Amira Dugar,FULL-TIME,SCOOTER,103,0.44,3.99,68.93
Jivin Sant,FULL-TIME,SCOOTER,111,0.34,4.15,69.37
Divit Goyal,FULL-TIME,SCOOTER,78,0.56,3.78,57.69
Sumer Zachariah,FULL-TIME,VAN,85,0.35,4.11,71.76
Baiju Bhatti,CONTRACT,VAN,92,0.38,4.07,68.48
Hiran Issac,CONTRACT,VAN,106,0.44,3.99,64.15
Yuvaan Maharaj,FULL-TIME,VAN,127,0.48,3.94,63.78
Hridaan Kurian,CONTRACT,EV BIKE,120,0.43,4.09,62.50
Ojas Banik,FULL-TIME,VAN,110,0.49,3.90,64.55
Zeeshan Subramaniam,CONTRACT,BIKE,92,0.54,3.88,58.70
Aaryahi Srinivas,CONTRACT,BIKE,95,0.51,3.92,58.95
Hansh Gala,CONTRACT,SCOOTER,123,0.44,4.03,65.85
Raunak Virk,CONTRACT,EV BIKE,80,0.48,3.95,65.00
Damini Barad,CONTRACT,SCOOTER,120,0.46,3.94,61.67
Oorja Rao,FULL-TIME,EV BIKE,114,0.39,4.05,66.67
Yuvraj  Randhawa,FULL-TIME,SCOOTER,116,0.47,3.88,66.38
Ayesha Chahal,CONTRACT,BIKE,119,0.52,3.89,60.50
Zaina Iyengar,FULL-TIME,BIKE,100,0.47,3.97,61.00
Elakshi Raj,CONTRACT,BIKE,104,0.49,3.95,62.50
Purab Shenoy,CONTRACT,VAN,81,0.38,4.12,69.14
Vihaan Bhat,CONTRACT,VAN,107,0.56,3.83,57.01
Yashvi Hora,CONTRACT,SCOOTER,80,0.51,4.05,57.50
Hunar Kannan,FULL-TIME,BIKE,119,0.55,3.88,58.82
Misha Sehgal,FULL-TIME,BIKE,121,0.48,4.02,64.46
Bhamini Seshadri,CONTRACT,VAN,90,0.40,4.00,72.22
Diya Dey,CONTRACT,EV BIKE,101,0.45,4.03,67.33
Hiran Tandon,CONTRACT,VAN,86,0.49,3.89,61.63
Riaan Handa,FULL-TIME,EV BIKE,107,0.49,3.97,63.55
Charvi Kade,FULL-TIME,EV BIKE,87,0.45,3.98,67.82
Prerak Rama,FULL-TIME,SCOOTER,91,0.41,4.04,64.84
Kabir Tank,FULL-TIME,VAN,119,0.46,4.03,64.71
Tejas Kapoor,CONTRACT,EV BIKE,104,0.54,3.88,61.54
Pranay Bhatt,CONTRACT,VAN,152,0.37,4.11,71.71
Yasmin Badal,CONTRACT,EV BIKE,113,0.42,3.99,64.60
Kartik Dugar,CONTRACT,EV BIKE,80,0.45,4.04,65.00
Vardaniya Raman,CONTRACT,EV BIKE,91,0.38,4.11,69.23
Elakshi Kuruvilla,CONTRACT,EV BIKE,97,0.51,3.96,62.89
Biju Bahl,FULL-TIME,SCOOTER,135,0.50,3.95,62.96
Purab Mander,CONTRACT,SCOOTER,94,0.46,4.01,67.02
Ivan Chand,FULL-TIME,VAN,115,0.52,3.88,60.87
Seher Bahl,CONTRACT,SCOOTER,124,0.43,4.07,67.74
Nirvi Ahluwalia,CONTRACT,VAN,97,0.44,4.00,64.95
Vardaniya Cherian,FULL-TIME,SCOOTER,95,0.42,4.03,65.26
Ivan Ravel,CONTRACT,VAN,96,0.47,3.88,68.75
Zeeshan Gade,FULL-TIME,SCOOTER,95,0.43,4.04,65.26
Raghav Mallick,CONTRACT,VAN,89,0.44,4.06,66.29
Khushi Seshadri,FULL-TIME,BIKE,104,0.48,3.98,60.58
Kanav Bansal,FULL-TIME,VAN,92,0.37,4.07,68.48
Aaina Kata,CONTRACT,BIKE,83,0.48,4.00,61.45
Rasha Sur,CONTRACT,BIKE,110,0.55,3.88,55.45
Rania Konda,FULL-TIME,VAN,64,0.52,3.93,59.38
Pihu Kohli,FULL-TIME,BIKE,110,0.48,3.99,60.00
Urvi Kumar,CONTRACT,EV BIKE,89,0.64,3.74,53.93
Kiara Kohli,FULL-TIME,BIKE,84,0.35,4.16,75.00
Kanav Swamy,CONTRACT,SCOOTER,94,0.46,4.03,63.83
Nitya Ben,CONTRACT,EV BIKE,88,0.48,3.98,62.50
Kavya Cheema,FULL-TIME,SCOOTER,118,0.51,3.93,62.71
Renee Cheema,CONTRACT,VAN,99,0.43,4.02,63.64
Ojas Krish,FULL-TIME,BIKE,71,0.51,3.89,61.97
Hiran Sagar,CONTRACT,VAN,101,0.57,3.81,56.44
Renee Gour,CONTRACT,SCOOTER,129,0.44,3.99,66.67
Lavanya Mammen,CONTRACT,VAN,109,0.58,3.83,57.80
Uthkarsh Kade,FULL-TIME,SCOOTER,134,0.36,4.11,70.90
Azad Zacharia,FULL-TIME,VAN,81,0.47,4.00,61.73
Jhanvi Bhavsar,CONTRACT,BIKE,138,0.36,4.13,71.74
Ishita Agarwal,FULL-TIME,BIKE,90,0.60,3.83,53.33
Hazel Sandal,CONTRACT,VAN,131,0.48,3.91,64.12
Elakshi Vora,CONTRACT,VAN,123,0.45,4.02,63.41
Vivaan Vasa,FULL-TIME,SCOOTER,104,0.51,3.88,61.54
Indrans Sengupta,CONTRACT,BIKE,125,0.42,4.01,64.00
Raghav Mand,CONTRACT,SCOOTER,105,0.45,3.99,66.67
Kimaya Khanna,CONTRACT,SCOOTER,113,0.43,4.02,68.14
Manjari Sood,CONTRACT,VAN,157,0.45,3.96,66.24
Vardaniya Gara,FULL-TIME,VAN,90,0.43,4.03,65.56
Ahana  Sarin,FULL-TIME,VAN,89,0.40,4.06,66.29
Jivika Thaker,CONTRACT,SCOOTER,86,0.40,4.05,69.77
Ritvik Datta,FULL-TIME,BIKE,109,0.50,3.96,61.47
Jayesh Vyas,CONTRACT,BIKE,105,0.39,4.04,68.57
Dhanush Gala,CONTRACT,VAN,91,0.53,3.92,59.34
Piya Keer,CONTRACT,VAN,94,0.45,4.00,63.83
Vardaniya Bhasin,FULL-TIME,EV BIKE,95,0.38,4.00,67.37
Riaan Dayal,FULL-TIME,SCOOTER,88,0.45,3.98,63.64
Manjari Master,FULL-TIME,EV BIKE,94,0.52,3.90,60.64
Nirvaan Jha,FULL-TIME,EV BIKE,98,0.47,3.93,67.35
Armaan Kannan,CONTRACT,EV BIKE,121,0.38,4.09,68.60
Samaira Bali,FULL-TIME,SCOOTER,97,0.36,4.14,72.16
Samiha Raval,CONTRACT,VAN,108,0.47,4.01,63.89
Badal Saraf,CONTRACT,SCOOTER,109,0.38,4.04,74.31
Onkar Sawhney,CONTRACT,SCOOTER,112,0.45,3.94,67.86
Zara Goel,FULL-TIME,BIKE,99,0.47,4.01,64.65
Alia Tank,CONTRACT,EV BIKE,115,0.34,4.17,74.78
Prerak Ahuja,CONTRACT,SCOOTER,97,0.35,4.12,72.16
Rati Grewal,FULL-TIME,SCOOTER,87,0.31,4.14,77.01
Aarav Karan,CONTRACT,EV BIKE,111,0.47,3.93,64.86
Ranbir Sanghvi,FULL-TIME,BIKE,104,0.43,4.05,67.31
Prerak Sandhu,FULL-TIME,BIKE,138,0.43,4.03,66.67
Yuvraj  Balan,FULL-TIME,SCOOTER,136,0.49,4.00,63.24
Miraya Rege,FULL-TIME,SCOOTER,83,0.47,4.09,63.86
Shaan Goswami,FULL-TIME,EV BIKE,113,0.35,4.20,70.80
Madhup Varghese,FULL-TIME,BIKE,90,0.37,4.12,67.78
Mishti Dutt,FULL-TIME,BIKE,86,0.50,3.98,59.30
Ivan Sinha,CONTRACT,EV BIKE,96,0.43,4.08,65.63
Vritika Chawla,FULL-TIME,BIKE,108,0.37,4.04,70.37
Aradhya Jaggi,CONTRACT,EV BIKE,119,0.58,3.87,55.46
Damini Dada,FULL-TIME,VAN,107,0.58,3.78,55.14
Pihu Mandal,FULL-TIME,BIKE,128,0.47,3.99,61.72
Biju Thakur,CONTRACT,BIKE,152,0.44,4.00,63.16
Anay Badami,FULL-TIME,EV BIKE,94,0.52,3.90,60.64
Advik Hegde,FULL-TIME,SCOOTER,82,0.34,4.18,73.17
Reyansh Shroff,CONTRACT,SCOOTER,96,0.41,4.08,70.83
Nirvaan Jhaveri,CONTRACT,VAN,91,0.51,3.96,61.54
Eva Kata,FULL-TIME,VAN,79,0.44,3.98,64.56
Tejas Toor,FULL-TIME,BIKE,108,0.58,3.77,55.56
Gokul Bakshi,FULL-TIME,BIKE,80,0.46,4.03,65.00
Vardaniya Sanghvi,FULL-TIME,BIKE,71,0.38,4.08,69.01
Hazel Batta,CONTRACT,BIKE,132,0.45,3.97,66.67
Mishti Chaudry,FULL-TIME,SCOOTER,130,0.48,4.01,62.31
Chirag Karpe,CONTRACT,VAN,109,0.45,4.01,66.97
Manikya Jani,FULL-TIME,VAN,95,0.46,3.92,62.11
Ayesha Bajaj,CONTRACT,EV BIKE,94,0.38,4.10,69.15
Kismat Agate,CONTRACT,SCOOTER,120,0.40,4.15,69.17
Nehmat Joshi,FULL-TIME,BIKE,80,0.55,3.92,57.50
Sumer Tailor,CONTRACT,BIKE,89,0.55,3.96,57.30
Jivika Suresh,FULL-TIME,VAN,75,0.40,4.12,68.00
Anahi Borra,CONTRACT,BIKE,112,0.47,3.97,63.39
Ivan Johal,FULL-TIME,EV BIKE,110,0.53,3.89,60.91
Jayesh Edwin,CONTRACT,VAN,132,0.42,4.08,66.67
Keya Samra,CONTRACT,BIKE,134,0.45,3.99,63.43
Elakshi Shan,FULL-TIME,BIKE,93,0.45,4.08,59.14
Aniruddh Srivastava,CONTRACT,VAN,112,0.54,3.90,58.93
Bhamini Acharya,FULL-TIME,VAN,105,0.28,4.24,78.10
Aarna Bhandari,FULL-TIME,BIKE,78,0.37,4.11,73.08
Seher Sahota,CONTRACT,VAN,130,0.38,4.05,70.00
Shaan Ghose,CONTRACT,SCOOTER,133,0.49,4.03,62.41
Tiya Dasgupta,CONTRACT,SCOOTER,109,0.50,4.00,63.30
Shayak Dhingra,CONTRACT,VAN,92,0.43,4.06,66.30
Shalv Hegde,CONTRACT,SCOOTER,87,0.40,4.10,68.97
Shalv Sidhu,FULL-TIME,EV BIKE,116,0.45,3.98,67.24
Romil Halder,CONTRACT,BIKE,98,0.42,4.09,65.31
Yasmin Seshadri,FULL-TIME,EV BIKE,87,0.53,3.98,60.92
Dishani Barad,FULL-TIME,EV BIKE,95,0.44,4.01,65.26
Vanya Kala,FULL-TIME,SCOOTER,104,0.45,4.06,61.54
Trisha Dutt,FULL-TIME,BIKE,122,0.43,4.03,64.75
Mishti Sharma,FULL-TIME,SCOOTER,111,0.35,4.10,70.27
Kiara Chada,FULL-TIME,SCOOTER,66,0.58,3.89,54.55
Aarav Atwal,CONTRACT,SCOOTER,75,0.68,3.72,50.67
Onkar De,CONTRACT,BIKE,92,0.42,4.05,64.13
Anya Sunder,FULL-TIME,BIKE,104,0.52,3.95,58.65
Yasmin Sami,CONTRACT,EV BIKE,92,0.45,4.03,60.87
Jayan Yadav,FULL-TIME,VAN,94,0.39,4.10,65.96
Ivana Suri,CONTRACT,BIKE,117,0.48,3.94,63.25
Vaibhav Hans,CONTRACT,BIKE,102,0.51,3.91,61.76
Jayesh Trivedi,FULL-TIME,EV BIKE,89,0.42,3.99,67.42
Sumer Dutta,FULL-TIME,VAN,133,0.52,3.88,62.41
Samiha Venkatesh,CONTRACT,SCOOTER,95,0.39,4.06,73.68
Hazel Badal,FULL-TIME,BIKE,118,0.47,3.96,62.71
Yuvraj  Bhatia,FULL-TIME,SCOOTER,133,0.36,4.07,69.92
Anika Bajaj,FULL-TIME,BIKE,106,0.50,3.93,59.43
Jhanvi Raj,CONTRACT,SCOOTER,120,0.46,4.09,65.83
Rasha Sinha,CONTRACT,VAN,106,0.51,3.92,61.32
Baiju Seshadri,CONTRACT,VAN,93,0.43,4.01,65.59
Alia Dhillon,CONTRACT,BIKE,132,0.48,4.02,62.12
Yuvaan Chad,CONTRACT,VAN,91,0.53,3.88,58.24
Onkar Banerjee,CONTRACT,BIKE,110,0.45,3.99,66.36
Tarini Ganesh,CONTRACT,VAN,117,0.48,3.94,64.96
Samar Dasgupta,CONTRACT,BIKE,133,0.53,3.86,57.89
Hiran Sule,CONTRACT,VAN,72,0.61,3.80,56.94
Shanaya Chand,FULL-TIME,SCOOTER,104,0.46,4.00,65.38
Neysa D’alia,FULL-TIME,EV BIKE,116,0.52,3.93,62.93
Hansh Contractor,CONTRACT,EV BIKE,98,0.51,3.95,63.27
Miraya Bhasin,CONTRACT,BIKE,117,0.42,4.03,67.52
Aarav Sarkar,CONTRACT,BIKE,105,0.40,4.11,64.76
Kimaya Sanghvi,FULL-TIME,EV BIKE,119,0.47,3.99,60.50
Divij Bhargava,CONTRACT,VAN,125,0.48,3.99,59.20
Yuvaan Devi,CONTRACT,SCOOTER,130,0.42,4.07,66.15
Uthkarsh Chaudhry,CONTRACT,EV BIKE,107,0.50,3.90,61.68
